source_business_domain,source_entity_type,destination_business_domain,destination_entity_type,relationship_name,cardinality
legal,requester,legal,matter,files,1..n
legal,matter,legal,requester,filed-by,1..n
legal,assignee,legal,matter,assigned-to,1..n
legal,matter,legal,assignee,assigned-to,0..n
legal,requester,legal,contract-document,provides,1..n
legal,contract-document,legal,requester,provided-by,0..n
legal,requester,legal,business-line,member-of,0..1
legal,business-line,legal,requester,contains,0..n
legal,contract-document,legal,business-line,for,1..n
legal,business-line,legal,contract-document,has,0..n
legal,contract-document,legal,internal-contract-template,based-on,1..1
legal,internal-contract-template,legal,contract-document,creates,0..n
legal,contract-document,legal,external-template,created-from,1..1
legal,external-template,legal,contract-document,creates,0..n
legal,assignee,legal,contract-document,reviews,1..n
legal,contract-document,legal,assignee,reviewed-by,0..n
legal,employee,legal,healthcare-provider,requests-services,1..n
legal,healthcare-provider,legal,employee,provides-services,0..n
legal,employee,legal,manager,notifies,1..1
legal,manager,legal,employee,manages,1..n
legal,manager,legal,occupational-health-nurse,consults,1..n
legal,occupational-health-nurse,legal,manager,provides-consultation,0..n
legal,manager,legal,rl6,inputs,1..1
legal,rl6,legal,manager,inputted-by,1..n
